Symbol,Name,Last,IV/HV,"Imp Vol","Long Term","Short Term","Med Term","Last Mth Signal","Last Wk Signal","Prev Signal",Signal
ZLZ02,"Soybean Oil",21.91,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLV02,"Soybean Oil",19.56,0,0.00%,Buy,Hold,Sell,Sell,Sell,Sell,Hold
ZLU02,"Soybean Oil",20.09,0,0.00%,Buy,Sell,Sell,Buy,Buy,Buy,Sell
ZLQ02,"Soybean Oil",20.89,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLN02,"Soybean Oil",19.11,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK02,"Soybean Oil",16.59,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLH02,"Soybean Oil",16.41,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLF02,"Soybean Oil",15.77,0,0.00%,Sell,Hold,Sell,Sell,Hold,Sell,Sell
ZLZ01,"Soybean Oil",15.71,0,0.00%,Sell,Sell,Sell,Buy,Buy,Sell,Sell
ZLV01,"Soybean Oil",14.89,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU01,"Soybean Oil",16.13,0,0.00%,Hold,Sell,Sell,Buy,Sell,Sell,Sell
ZLQ01,"Soybean Oil",18.87,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLN01,"Soybean Oil",18.12,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK01,"Soybean Oil",14.48,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH01,"Soybean Oil",15.93,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLF01,"Soybean Oil",14.48,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ00,"Soybean Oil",14.74,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV00,"Soybean Oil",14.98,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU00,"Soybean Oil",15.39,0,0.00%,Sell,Sell,Sell,Sell,Sell,Hold,Sell
ZLQ00,"Soybean Oil",15.13,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN00,"Soybean Oil",15.42,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK00,"Soybean Oil",17.19,0,0.00%,Buy,Sell,Sell,Buy,Buy,Sell,Sell
ZLH00,"Soybean Oil",16.57,0,0.00%,Buy,Buy,Buy,Sell,Hold,Buy,Buy
ZLF00,"Soybean Oil",16.03,0,0.00%,Sell,Buy,Sell,Sell,Sell,Hold,Sell
ZLZ99,"Soybean Oil",15.4,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV99,"Soybean Oil",16.49,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLU99,"Soybean Oil",16.78,0,0.00%,Sell,Sell,Buy,Buy,Buy,Sell,Sell
ZLQ99,"Soybean Oil",17.28,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
