Time,Open,High,Low,Last,Change,%Change,Volume
2007-09-10,7.528,7.528,7.511,7.528,-0.0008,-0.01%,0
2007-09-07,7.531,7.5328,7.508,7.5288,-0.0124,-0.16%,0
2007-09-06,7.5412,7.5412,7.5288,7.5412,0.0012,+0.02%,0
2007-09-05,7.54,7.5413,7.5392,7.54,0.0051,+0.07%,0
2007-09-04,7.5349,7.54,7.5349,7.5349,-0.0001,0.00%,0
2007-09-03,7.535,7.5355,7.5345,7.535,0.0005,+0.01%,0
2007-08-31,7.535,7.5365,7.5315,7.5345,-0.0045,-0.06%,0
2007-08-30,7.5405,7.541,7.533,7.539,-0.0065,-0.09%,0
2007-08-29,7.5455,7.5455,7.539,7.5455,-0.0045,-0.06%,0
2007-08-28,7.55,7.55,7.5444,7.55,-0.008,-0.11%,0
2007-08-27,7.558,7.558,7.55,7.558,-0.016,-0.21%,0
2007-08-24,7.574,7.574,7.5565,7.574,-0.018,-0.24%,0
2007-08-23,7.592,7.592,7.574,7.592,0.012,+0.16%,0
2007-08-22,7.5875,7.592,7.58,7.58,0.0025,+0.03%,0
2007-08-21,7.581,7.581,7.5775,7.5775,-0.0075,-0.10%,0
2007-08-20,7.585,7.5852,7.5775,7.585,-0.008,-0.11%,0
2007-08-17,7.593,7.5955,7.565,7.593,0.0182,+0.24%,0
2007-08-16,7.5748,7.593,7.5748,7.5748,0.0087,+0.11%,0
2007-08-15,7.5661,7.576,7.5661,7.5661,-0.0069,-0.09%,0
2007-08-14,7.573,7.5737,7.565,7.573,0.009,+0.12%,0
2007-08-13,7.564,7.573,7.564,7.564,0.0089,+0.12%,0
2007-08-10,7.5665,7.569,7.5551,7.5551,-0.0119,-0.16%,0
2007-08-09,7.567,7.567,7.5525,7.567,0.0067,+0.09%,0
2007-08-08,7.5603,7.567,7.56,7.5603,0.0093,+0.12%,0
2007-08-07,7.5559,7.5603,7.551,7.551,-0.004,-0.05%,0
2007-08-06,7.555,7.555,7.549,7.555,-0.007,-0.09%,0
2007-08-03,7.5635,7.566,7.554,7.562,0.002,+0.03%,0
2007-08-02,7.56,7.5675,7.56,7.56,-0.0025,-0.03%,0
2007-08-01,7.5625,7.564,7.557,7.5625,-0.014,-0.18%,0
2007-07-31,7.5683,7.5765,7.5667,7.5765,0.007,+0.09%,0
2007-07-30,7.5609,7.572,7.5608,7.5695,0.0073,+0.10%,0
2007-07-27,7.5653,7.5725,7.5604,7.5622,-0.0034,-0.04%,0
2007-07-26,7.5579,7.5791,7.5578,7.5656,0.004,+0.05%,0
2007-07-25,7.5628,7.5629,7.5546,7.5616,-0.0009,-0.01%,0
2007-07-24,7.5643,7.5716,7.5625,7.5625,-0.0032,-0.04%,0
2007-07-23,7.5625,7.5676,7.5619,7.5657,-0.0069,-0.09%,0
2007-07-20,7.5636,7.5751,7.5613,7.5726,0.0094,+0.12%,0
2007-07-19,7.563,7.5656,7.5605,7.5632,-0.0008,-0.01%,0
2007-07-18,7.5615,7.5685,7.5614,7.564,-0.0011,-0.01%,0
2007-07-17,7.566,7.5661,7.5621,7.5651,-0.0024,-0.03%,0
2007-07-16,7.569,7.5701,7.5657,7.5675,-0.0029,-0.04%,0
2007-07-13,7.5655,7.5748,7.5653,7.5704,0.0023,+0.03%,0
2007-07-12,7.5632,7.5704,7.5631,7.5681,0.0049,+0.06%,0
2007-07-11,7.5812,7.5812,7.563,7.5632,-0.0203,-0.27%,0
2007-07-10,7.6017,7.6019,7.5772,7.5835,-0.0245,-0.32%,0
2007-07-09,7.6023,7.6086,7.6015,7.608,0.0071,+0.09%,0
2007-07-06,7.5988,7.6119,7.5986,7.6009,0.0026,+0.03%,0
2007-07-05,7.5951,7.6055,7.5951,7.5983,0.0036,+0.05%,0
2007-07-04,7.5946,7.6003,7.5942,7.5947,-0.0001,0.00%,0
2007-07-03,7.597,7.597,7.5929,7.5948,-0.0099,-0.13%,0
2007-07-02,7.6085,7.6085,7.6046,7.6047,-0.0003,0.00%,0
2007-06-29,7.6058,7.6073,7.6035,7.605,-0.003,-0.04%,0
2007-06-28,7.608,7.608,7.605,7.608,0.002,+0.03%,0
2007-06-27,7.6065,7.609,7.606,7.606,-0.0035,-0.05%,0
2007-06-26,7.6095,7.6095,7.606,7.6095,-0.0055,-0.07%,0
2007-06-25,7.615,7.615,7.609,7.615,0.006,+0.08%,0
2007-06-22,7.609,7.615,7.609,7.609,0.0014,+0.02%,0
2007-06-21,7.61,7.6103,7.6076,7.6076,0.0001,0.00%,0
2007-06-20,7.608,7.608,7.6075,7.6075,-0.0125,-0.16%,0
2007-06-19,7.62,7.62,7.6075,7.62,0.005,+0.07%,0
2007-06-18,7.6155,7.6215,7.615,7.615,-0.0005,-0.01%,0
2007-06-15,7.6165,7.617,7.613,7.6155,-0.0065,-0.09%,0
2007-06-14,7.625,7.625,7.6155,7.622,-0.0115,-0.15%,0
2007-06-13,7.6335,7.6335,7.616,7.6335,-0.0215,-0.28%,0
2007-06-12,7.655,7.655,7.631,7.655,0.01,+0.13%,0
2007-06-11,7.645,7.66,7.645,7.645,0.007,+0.09%,0
2007-06-08,7.638,7.6501,7.638,7.638,0.013,+0.17%,0
2007-06-07,7.6353,7.642,7.625,7.625,-0.0076,-0.10%,0
2007-06-06,7.6326,7.6326,7.6245,7.6326,-0.0064,-0.08%,0
2007-06-05,7.639,7.639,7.632,7.639,0.0027,+0.04%,0
2007-06-04,7.6363,7.641,7.6363,7.6363,-0.0012,-0.02%,0
2007-06-01,7.6375,7.6375,7.636,7.6375,0.0015,+0.02%,0
2007-05-31,7.6374,7.6379,7.635,7.636,-0.0042,-0.05%,0
2007-05-30,7.6402,7.6402,7.636,7.6402,-0.0021,-0.03%,0
2007-05-29,7.6423,7.6423,7.6371,7.6423,0,0.00%,0
2007-05-28,7.6423,7.6423,7.6423,7.6423,0.0004,+0.01%,0
2007-05-25,7.643,7.644,7.6419,7.6419,-0.0011,-0.01%,0
2007-05-24,7.643,7.643,7.641,7.643,-0.0015,-0.02%,0
2007-05-23,7.6462,7.6487,7.643,7.6445,-0.0095,-0.12%,0
2007-05-22,7.654,7.654,7.6415,7.654,-0.0045,-0.06%,0
2007-05-21,7.6585,7.6585,7.6533,7.6585,-0.0132,-0.17%,0
2007-05-18,7.6717,7.6717,7.658,7.6717,0,0.00%,0
2007-05-17,7.6717,7.6717,7.6717,7.6717,-0.0018,-0.02%,0
2007-05-16,7.6735,7.6735,7.6717,7.6735,0.0025,+0.03%,0
2007-05-15,7.6782,7.68,7.671,7.671,0.0044,+0.06%,0
2007-05-14,7.6692,7.671,7.6666,7.6666,-0.0173,-0.23%,0
2007-05-11,7.6839,7.6839,7.6666,7.6839,0.0004,+0.01%,0
2007-05-10,7.6865,7.6865,7.6835,7.6835,-0.0025,-0.03%,0
2007-05-09,7.6868,7.6868,7.6835,7.686,-0.0069,-0.09%,0
2007-05-08,7.7038,7.7107,7.6911,7.6929,-0.011,-0.14%,0
2007-05-07,7.7039,7.7056,7.7005,7.7039,0.0003,0.00%,0
2007-05-04,7.7039,7.7105,7.7004,7.7036,-0.0039,-0.05%,0
2007-05-03,7.7039,7.7076,7.7039,7.7075,0.002,+0.03%,0
2007-05-02,7.7039,7.7056,7.7039,7.7055,0.0012,+0.02%,0
2007-05-01,7.7039,7.7165,7.7039,7.7043,-0.0041,-0.05%,0
2007-04-30,7.7132,7.7253,7.6991,7.7084,-0.0058,-0.08%,0
2007-04-27,7.7263,7.7277,7.7129,7.7142,-0.0176,-0.23%,0
